dataset,dataset_slug,topic_id,topic_prevalence,top_terms,term_1,weight_1,term_2,weight_2,term_3,weight_3,term_4,weight_4,term_5,weight_5,term_6,weight_6,term_7,weight_7,term_8,weight_8,term_9,weight_9,term_10,weight_10
Before Election Some,before_election_some,0,0.20895145078887953,"ধানের, শীষ, মানুষ, ইনশাআল্লাহ, নাই, তারেক, চোর, খুনি, তুই, বিজয়",ধানের,60.671183977669564,শীষ,43.196644851914684,মানুষ,28.353420651089877,ইনশাআল্লাহ,22.379937727217747,নাই,21.84678486492798,তারেক,18.418244605753497,চোর,16.205958326767426,খুনি,15.195106432016136,তুই,13.192036273304003,বিজয়,13.049597921584237
Before Election Some,before_election_some,1,0.1930597281948385,"মানুষ, ভাই, হাদী, ঢাকা, বাটপার, জনগণ, চাই, দল, নাহিদ, রাম",মানুষ,23.041136675514775,ভাই,21.064313102026347,হাদী,19.19229697971047,ঢাকা,18.71367031773755,বাটপার,16.192545974442357,জনগণ,16.012806187922905,চাই,15.590534879632811,দল,15.38586228892448,নাহিদ,12.195785133159077,রাম,11.19997019727506
Before Election Some,before_election_some,2,0.2048374734874389,"ভোট, জিন্দাবাদ, ধানের, চাঁদাবাজ, বাংলাদেশ, তারেক, রহমান, বলে, দিবে, শীষে",ভোট,105.19321223833829,জিন্দাবাদ,25.19602670755222,ধানের,23.72748694175672,চাঁদাবাজ,21.921643809971055,বাংলাদেশ,21.901056797632787,তারেক,20.978801893437314,রহমান,19.094772232075627,বলে,18.049068529085183,দিবে,16.521752798024554,শীষে,16.19776173340521
Before Election Some,before_election_some,3,0.18783954417918117,"আব্বাস, চান্দা, মির্জা, মনে, বিএনপি, থাকবে, খাম্বা, আপনারা, ভাই, ঠিক",আব্বাস,64.19595947764908,চান্দা,35.196273042068356,মির্জা,33.195456383166416,মনে,25.979840610061498,বিএনপি,21.77310434117259,থাকবে,15.84929708718787,খাম্বা,13.285314784445129,আপনারা,13.055999016934654,ভাই,12.189681932991975,ঠিক,11.2050516090867
Before Election Some,before_election_some,4,0.2053118033496599,"ইনশাআল্লাহ, বিএনপি, জিতবে, নাই, করতে, বি, জয়, দলে, জনগণ, ভালো",ইনশাআল্লাহ,46.52056240440106,বিএনপি,41.324237518566136,জিতবে,15.653814906515363,নাই,14.54894268282623,করতে,13.522424116750736,বি,13.19656020626022,জয়,13.186957004184952,দলে,12.995591512743944,জনগণ,12.884807622140636,ভালো,11.291518714960802
Post Election Data Updated With Location 09 March,post_election_data_updated_with_location_09_march,0,0.23186592901822967,"ঠিক, হলো, কাজ, মনে, লাভ, তেল, এত, নাই, নোটিশ, কোন",ঠিক,88.19278398888562,হলো,81.19640348504258,কাজ,62.193889360820094,মনে,60.94035736331111,লাভ,53.19813352761061,তেল,51.19630484023209,এত,43.79305358613775,নাই,43.663071782030315,নোটিশ,39.69398930026736,কোন,36.52935443694168
Post Election Data Updated With Location 09 March,post_election_data_updated_with_location_09_march,1,0.1986605643941385,"রাষ্ট্রপতি, ভালো, দরকার, মন্ত্রী, নতুন, চাই, উনি, বিষয়ক, সংবিধান, জুলাই",রাষ্ট্রপতি,89.43644631784022,ভালো,73.11035792702751,দরকার,55.19269201464131,মন্ত্রী,49.05607131762191,নতুন,43.73298716861815,চাই,41.19394836417363,উনি,37.19355984482163,বিষয়ক,32.234421753516926,সংবিধান,29.909430828705688,জুলাই,28.732744089816794
Post Election Data Updated With Location 09 March,post_election_data_updated_with_location_09_march,2,0.172761075969543,"আলহামদুলিল্লাহ, শেষ, দেশের, ঘাট, হাট, মারা, ঘেরাও, সারা, নাম, good",আলহামদুলিল্লাহ,39.198403017622155,শেষ,38.390502397876254,দেশের,38.025785669652244,ঘাট,35.19512771694769,হাট,35.18720402933903,মারা,29.196653407775173,ঘেরাও,26.195244988136743,সারা,23.195517530732637,নাম,19.97845103321272,good,19.198963341331126
Post Election Data Updated With Location 09 March,post_election_data_updated_with_location_09_march,3,0.1877596007606989,"হোক, দেওয়া, সে, কোন, করতে, আবার, মানুষ, ডিম, বড়, শাহরিয়ার",হোক,74.1937853472935,দেওয়া,43.14795117807498,সে,38.79681699363696,কোন,31.713302774816846,করতে,31.02370848032575,আবার,30.0388879736596,মানুষ,24.163231076762454,ডিম,23.198669158771974,বড়,21.753093477740745,শাহরিয়ার,20.925421914312267
Post Election Data Updated With Location 09 March,post_election_data_updated_with_location_09_march,4,0.2089528298573906,"সমঝোতা, চাঁদা, বলে, সমঝোতার, ভাই, নাই, খেলা, চাদা, খা, হা",সমঝোতা,164.19582512068354,চাঁদা,76.19720074606752,বলে,60.19212965243607,সমঝোতার,49.19675102231896,ভাই,48.41505684117912,নাই,44.727585378724314,খেলা,40.19506723351365,চাদা,35.19577236352984,খা,33.19695707058778,হা,26.19749379877934
After Forming Government Data With Location,after_forming_government_data_with_location,0,0.20997327499023483,"খাও, খা, ভালো, তুই, নাই, নেতা, মনে, জুলাই, হোক, পিছনে",খাও,63.19439432215287,খা,61.193784069250945,ভালো,38.19215000975115,তুই,25.53367800536556,নাই,24.6560934668105,নেতা,23.82600460543249,মনে,23.082382960740322,জুলাই,20.09466141088054,হোক,18.11963459047789,পিছনে,15.011699089445466
After Forming Government Data With Location,after_forming_government_data_with_location,1,0.1983658016464394,"হাট, ঘাট, খাইতে, বছর, ভাই, আপনারা, কোন, খেয়ে, দরদ, আহারে",হাট,64.19526333193834,ঘাট,57.194285069752546,খাইতে,22.195579015059128,বছর,21.18596040093812,ভাই,19.686234111398438,আপনারা,18.208168451489932,কোন,18.14939826319294,খেয়ে,16.316091327494505,দরদ,16.198618080394983,আহারে,16.129070156764367
After Forming Government Data With Location,after_forming_government_data_with_location,2,0.1713302949905066,"খাবে, খাবেন, তাহলে, আপনাদের, টয়লেট, অবশ্যই, বাহ, সমস্যা, সমঝোতা, সুন্দর",খাবে,39.2303280034668,খাবেন,23.941699408160673,তাহলে,22.771372572837144,আপনাদের,22.194395464603122,টয়লেট,21.197726299351892,অবশ্যই,21.197094129986816,বাহ,17.198649440239073,সমস্যা,16.139301835110945,সমঝোতা,14.986203386420083,সুন্দর,14.198364699674343
After Forming Government Data With Location,after_forming_government_data_with_location,3,0.2200787468136823,"কষ্ট, বলে, তোর, খান, বেশি, তোমাদের, ভাই, নাই, গাড়ির, দেয়",কষ্ট,98.03103309690523,বলে,36.19277153792019,তোর,23.119092226363044,খান,22.18833994446602,বেশি,20.958054551806228,তোমাদের,19.076840717413543,ভাই,18.908669600683307,নাই,17.58838500205819,গাড়ির,17.197592394502088,দেয়,17.029757812275037
After Forming Government Data With Location,after_forming_government_data_with_location,4,0.20025188155913567,"ঠিক, ভাই, খাওয়ার, জ্বালা, চাই, অধিকার, খেতে, বলেছেন, যান, ভোট",ঠিক,81.19664315981323,ভাই,36.2460766500518,খাওয়ার,17.1887162381824,জ্বালা,16.199973488289718,চাই,14.195680786142278,অধিকার,13.616590939064501,খেতে,13.432464632723507,বলেছেন,12.192997065541539,যান,11.991787490732747,ভোট,11.198754735935822
